time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance
35840,35,791,45,0.011455059,-0.016198729583993553,0.8813769221305847,-0.002880926476791501,5.939076340837346e-05,0.2,-1.2993369057774544,0.15146484375,0.0003,340,0.8910470977425575
36864,36,796,46,0.006655289,-0.004031016543740407,0.8808503150939941,0.04062718152999878,0.1429357490502298,0.2,-1.2915216833353043,0.05986328125,0.0003,350,0.06190735101699829
37888,37,799,47,0.0028473507,-0.0013773323880741373,0.8769810795783997,0.04047361761331558,0.1069221063517034,0.2,-1.2899609476327896,0.01318359375,0.0003,360,0.4532073736190796
38912,38,798,48,0.00458436,-0.001201732479967177,0.8832495212554932,0.01268882118165493,0.03777948301285505,0.2,-1.2911925688385963,0.021875,0.0003,370,0.31499314308166504
39936,39,794,50,0.006047463,-0.0083711905637756,0.887008011341095,0.0025311617646366358,0.0019802314185653814,0.2,-1.2959477573633194,0.0861328125,0.0003,380,0.9038470089435577
40960,40,797,51,0.0063565588,-0.006359517760574818,0.8802751302719116,-0.01883682794868946,0.0011073766007029917,0.2,-1.2960245564579964,0.05625,0.0003,390,0.9716254286468029
41984,41,788,53,0.007530574,-0.009378595126327128,0.8643388748168945,-0.014876718632876873,0.0010559788708633278,0.2,-1.2829087257385254,0.080859375,0.0003,400,0.965374406427145
43008,42,782,54,0.0054314514,-0.004815716060693376,0.8610129952430725,-0.00629032077267766,0.0008963580934505444,0.2,-1.2701455071568488,0.0453125,0.0003,410,0.9635958336293697
44032,43,777,56,0.0046473583,-0.004628583378507756,0.866736114025116,0.0010900013148784637,0.0012676344860665268,0.2,-1.270889289677143,0.0228515625,0.0003,420,0.9585240632295609
45056,44,774,58,0.005613951,-0.004609074938343838,0.8633766770362854,-0.005795045755803585,0.001004613902841811,0.2,-1.2753315255045892,0.036328125,0.0003,430,0.968511950224638
46080,45,774,59,0.0025751465,-0.0014616704167565331,0.8596433997154236,-0.003609812119975686,0.0008023106665859814,0.2,-1.2714117661118507,0.00859375,0.0003,440,0.9686475545167923
47104,46,772,60,0.0048936685,-0.0019875068683177233,0.8554765582084656,0.009160264395177364,0.0010462256102982792,0.2,-1.2646571487188338,0.0173828125,0.0003,450,0.9647551439702511
48128,47,765,62,0.004358996,-0.0031175947922747584,0.8464144468307495,-0.006544896401464939,0.0007326799997827039,0.2,-1.2574759721755981,0.0265625,0.0003,460,0.965002965182066
49152,48,762,64,0.0021131034,-0.00070428793260362,0.8417125344276428,0.0049669984728097916,0.0008503208460751921,0.2,-1.2490502059459687,0.005859375,0.0003,470,0.966983649879694
50176,49,763,65,0.0038744765,-0.002892410400090739,0.846328616142273,-0.009285198524594307,0.0005850727674442169,0.2,-1.2498330533504487,0.034375,0.0003,480,0.9651649557054043
51200,50,761,67,0.0034406825,-0.0017158708884380757,0.8495492339134216,-0.003717650193721056,0.00040754623332759363,0.2,-1.25362888276577,0.01494140625,0.0003,490,0.969787672162056
52224,51,763,68,0.0029143374,-0.001611818822857458,0.8552592396736145,0.0014594972599297762,0.00040894479479902657,0.2,-1.2593163907527924,0.019921875,0.0003,500,0.9681188948452473
53248,52,764,69,0.005179777,-0.0032998490176396446,0.8479445576667786,-0.0016898195026442409,0.0002727515140577452,0.2,-1.2591006472706794,0.03701171875,0.0003,510,0.969030000269413
54272,53,763,71,0.0022097328,-0.001979347533779219,0.8450345396995544,-0.00018129104864783585,0.00019115470595352236,0.2,-1.2524054557085038,0.00849609375,0.0003,520,0.9713907185941935
55296,54,765,72,0.004642208,-0.0024861130747012793,0.8518826961517334,-0.01081475242972374,0.00015400525689983623,0.2,-1.2533875226974487,0.03193359375,0.0003,530,0.9713184665888548
56320,55,765,73,0.0046617845,-0.004712370046763681,0.836214005947113,-0.019346004351973534,0.00011565724580577807,0.2,-1.2505273148417473,0.03095703125,0.0003,540,0.9759133718907833
57344,56,768,74,0.0052724974,-0.004903311299858615,0.8257861137390137,-0.004288522060960531,6.0450699140801587e-05,0.2,-1.233666680753231,0.047265625,0.0003,550,0.9847991475835443
58368,57,765,76,0.0043236353,-0.004598863964201882,0.8154575228691101,-0.006272926926612854,3.736166009957742e-05,0.2,-1.2216542452573775,0.03369140625,0.0003,560,0.979648519307375
59392,58,768,77,0.0036636149,-0.0014028939884155988,0.8142246007919312,0.003751656273379922,3.1805614207769393e-05,0.2,-1.2140407249331475,0.01435546875,0.0003,570,0.9855702016502619
60416,59,768,78,0.0063118874,-0.005185741541208699,0.8145854473114014,-0.0024360110983252525,2.5781176867667453e-05,0.2,-1.2142452716827392,0.04755859375,0.0003,580,0.9804607424885035
